"DateTime","Players","Twitch Viewers"
"2019-05-03 00:00:00",13,12093
"2019-05-04 00:00:00",21,17204
"2019-05-05 00:00:00",72,58351
"2019-05-06 00:00:00",56,22261
"2019-05-07 00:00:00",48,15014
"2019-05-08 00:00:00",76,62883
"2019-05-09 00:00:00",80,30528
"2019-05-10 00:00:00",82,13502
"2019-05-11 00:00:00",62,11946
"2019-05-12 00:00:00",61,6583
"2019-05-13 00:00:00",52,16314
"2019-05-14 00:00:00",57,24063
"2019-05-15 00:00:00",53,25501
"2019-05-16 00:00:00",43,4461
"2019-05-17 00:00:00",39,18184
"2019-05-18 00:00:00",37,19387
"2019-05-19 00:00:00",38,2759
"2019-05-20 00:00:00",32,24904
"2019-05-21 00:00:00",30,2935
"2019-05-22 00:00:00",31,6053
"2019-05-23 00:00:00",28,1867
"2019-05-24 00:00:00",32,6387
"2019-05-25 00:00:00",33,1595
"2019-05-26 00:00:00",45,13532
"2019-05-27 00:00:00",57,1890
"2019-05-28 00:00:00",53,8615
"2019-05-29 00:00:00",80,2421
"2019-05-30 00:00:00",100,330
"2019-05-31 00:00:00",71,4763
"2019-06-01 00:00:00",68,5465
"2019-06-02 00:00:00",75,4646
"2019-06-03 00:00:00",81,244
"2019-06-04 00:00:00",105,14814
"2019-06-05 00:00:00",86,1880
"2019-06-06 00:00:00",87,1323
"2019-06-07 00:00:00",227,37583
"2019-06-08 00:00:00",260,26884
"2019-06-09 00:00:00",354,41550
"2019-06-10 00:00:00",354,30847
"2019-06-11 00:00:00",367,33610
"2019-06-12 00:00:00",375,40671
"2019-06-13 00:00:00",341,11512
"2019-06-14 00:00:00",277,11577
"2019-06-15 00:00:00",249,2854
"2019-06-16 00:00:00",219,9687
"2019-06-17 00:00:00",221,8930
"2019-06-18 00:00:00",190,5587
"2019-06-19 00:00:00",157,26151
"2019-06-20 00:00:00",145,3072
"2019-06-21 00:00:00",126,3165
"2019-06-22 00:00:00",120,7221
"2019-06-23 00:00:00",119,3073
"2019-06-24 00:00:00",94,4604
"2019-06-25 00:00:00",80,6394
"2019-06-26 00:00:00",95,1659
"2019-06-27 00:00:00",92,1650
"2019-06-28 00:00:00",76,1576
"2019-06-29 00:00:00",73,214
"2019-06-30 00:00:00",87,733
"2019-07-01 00:00:00",67,1316
"2019-07-02 00:00:00",60,1673
"2019-07-03 00:00:00",59,2972
"2019-07-04 00:00:00",55,1645
"2019-07-05 00:00:00",49,789
"2019-07-06 00:00:00",50,704
"2019-07-07 00:00:00",62,260
"2019-07-08 00:00:00",53,553
"2019-07-09 00:00:00",53,994
"2019-07-10 00:00:00",44,1635
"2019-07-11 00:00:00",42,214
"2019-07-12 00:00:00",36,1014
"2019-07-13 00:00:00",39,1526
"2019-07-14 00:00:00",34,999
"2019-07-15 00:00:00",35,1754
"2019-07-16 00:00:00",29,95
"2019-07-17 00:00:00",29,306
"2019-07-18 00:00:00",22,465
"2019-07-19 00:00:00",27,988
"2019-07-20 00:00:00",30,7245
"2019-07-21 00:00:00",24,1982
"2019-07-22 00:00:00",21,2254
"2019-07-23 00:00:00",22,1722
"2019-07-24 00:00:00",28,1486
"2019-07-25 00:00:00",23,1185
"2019-07-26 00:00:00",25,292
"2019-07-27 00:00:00",23,149
"2019-07-28 00:00:00",23,144
"2019-07-29 00:00:00",21,1452
"2019-07-30 00:00:00",16,49
"2019-07-31 00:00:00",27,1175
"2019-08-01 00:00:00",16,1609
"2019-08-02 00:00:00",20,177
"2019-08-03 00:00:00",30,323
"2019-08-04 00:00:00",27,2044
"2019-08-05 00:00:00",24,1141
"2019-08-06 00:00:00",23,126
