"DateTime","Players","Flags","Twitch Viewers"
"2017-12-01 00:00:00",1
"2017-12-02 00:00:00",,,4
"2017-12-03 00:00:00",,,1
"2017-12-04 00:00:00",,,2
"2017-12-05 00:00:00",2,,1
"2017-12-06 00:00:00",,,0
"2017-12-07 00:00:00",1,,2
"2017-12-08 00:00:00",,,1
"2017-12-09 00:00:00",,,0
"2017-12-10 00:00:00",,,0
"2017-12-11 00:00:00",,,0
"2017-12-12 00:00:00",,,2
"2017-12-13 00:00:00",,,8
"2017-12-14 00:00:00",,,6
"2017-12-15 00:00:00",158,,29
"2017-12-16 00:00:00",159,,30
"2017-12-17 00:00:00",173,,33
"2017-12-18 00:00:00",163,,37712
"2017-12-19 00:00:00",165,,5986
"2017-12-20 00:00:00",156,,452
"2017-12-21 00:00:00",157,,130
"2017-12-22 00:00:00",155,,102
"2017-12-23 00:00:00",150,,395
"2017-12-24 00:00:00",153,,27
"2017-12-25 00:00:00",160,,56
"2017-12-26 00:00:00",160,,22
"2017-12-27 00:00:00",181,,18
"2017-12-28 00:00:00",203,,203
"2017-12-29 00:00:00",202,,29
"2017-12-30 00:00:00",221,,26
"2017-12-31 00:00:00",219,,32
"2018-01-01 00:00:00",218,,19
"2018-01-02 00:00:00",223,,30
"2018-01-03 00:00:00",222,,21
"2018-01-04 00:00:00",181,,24
"2018-01-05 00:00:00",221,,149
"2018-01-06 00:00:00",304,,30
"2018-01-07 00:00:00",337,,161
"2018-01-08 00:00:00",308,,95
"2018-01-09 00:00:00",309,,272
"2018-01-10 00:00:00",248,,1270
"2018-01-11 00:00:00",296,,1207
"2018-01-12 00:00:00",288,,2710
"2018-01-13 00:00:00",311,,126
"2018-01-14 00:00:00",300,,79
"2018-01-15 00:00:00",277,,142
"2018-01-16 00:00:00",290,,65
"2018-01-17 00:00:00",262,,60
"2018-01-18 00:00:00",233,,65
"2018-01-19 00:00:00",191,,0
"2018-01-20 00:00:00",240,,0
"2018-01-21 00:00:00",283,,0
"2018-01-22 00:00:00",240,,0
"2018-01-23 00:00:00",220,,0
"2018-01-24 00:00:00",197,,0
"2018-01-25 00:00:00",168,,0
"2018-01-26 00:00:00",172,,0
"2018-01-27 00:00:00",195,,0
"2018-01-28 00:00:00",192,,0
"2018-01-29 00:00:00",184,,0
"2018-01-30 00:00:00",210,,0
"2018-01-31 00:00:00",156,,0
"2018-02-01 00:00:00",166,,0
"2018-02-02 00:00:00",134,,0
"2018-02-03 00:00:00",172,,0
"2018-02-04 00:00:00",193,,0
"2018-02-05 00:00:00",136,,0
"2018-02-06 00:00:00",125,,0
"2018-02-07 00:00:00",128,,0
"2018-02-08 00:00:00",110,,0
"2018-02-09 00:00:00",108,,0
"2018-02-10 00:00:00",155,,0
"2018-02-11 00:00:00",138,,0
"2018-02-12 00:00:00",112,,0
"2018-02-13 00:00:00",102,,0
"2018-02-14 00:00:00",88,,0
"2018-02-15 00:00:00",75,,0
"2018-02-16 00:00:00",105,,0
"2018-02-17 00:00:00",101,,0
"2018-02-18 00:00:00",122,,0
"2018-02-19 00:00:00",97,,0
"2018-02-20 00:00:00",89,,0
"2018-02-21 00:00:00",82,,0
"2018-02-22 00:00:00",84,,0
"2018-02-23 00:00:00",78,,0
"2018-02-24 00:00:00",93,,0
"2018-02-25 00:00:00",98,,0
"2018-02-26 00:00:00",86,,0
"2018-02-27 00:00:00",75,,0
"2018-02-28 00:00:00",68,,0
"2018-03-01 00:00:00",70,,0
"2018-03-02 00:00:00",51,,0
"2018-03-03 00:00:00",80,,0
"2018-03-04 00:00:00",112,,0
"2018-03-05 00:00:00",81,,0
"2018-03-06 00:00:00",76,,0
"2018-03-07 00:00:00",65,,0
"2018-03-08 00:00:00",54,,0
"2018-03-09 00:00:00",78,,2
"2018-03-10 00:00:00",111,,2
"2018-03-11 00:00:00",120,,5
"2018-03-12 00:00:00",85,,12
"2018-03-13 00:00:00",77,,5
"2018-03-14 00:00:00",70,,7
"2018-03-15 00:00:00",67,,9
"2018-03-16 00:00:00",61,,9
"2018-03-17 00:00:00",75,,10
"2018-03-18 00:00:00",93,,16
"2018-03-19 00:00:00",80,,17
"2018-03-20 00:00:00",85,,6
"2018-03-21 00:00:00",80,,4
"2018-03-22 00:00:00",58,,6
"2018-03-23 00:00:00",64,,6
"2018-03-24 00:00:00",92,,11
"2018-03-25 00:00:00",78,,138
"2018-03-26 00:00:00",63,,10
"2018-03-27 00:00:00",63,,5
"2018-03-28 00:00:00",65,,15
"2018-03-29 00:00:00",63,,14
"2018-03-30 00:00:00",86,,17
"2018-03-31 00:00:00",87,,14
"2018-04-01 00:00:00",96,,13
"2018-04-02 00:00:00",95,,33
"2018-04-03 00:00:00",69,,13
"2018-04-04 00:00:00",74,,0
"2018-04-05 00:00:00",63,,28
"2018-04-06 00:00:00",67,,11
"2018-04-07 00:00:00",78,,7
"2018-04-08 00:00:00",74,,15
"2018-04-09 00:00:00",69,,5
"2018-04-10 00:00:00",65,,9
"2018-04-11 00:00:00",64,,7
"2018-04-12 00:00:00",60,,9
"2018-04-13 00:00:00",67,,176
"2018-04-14 00:00:00",70,,14
"2018-04-15 00:00:00",80,,17
"2018-04-16 00:00:00",76,,48
"2018-04-17 00:00:00",84,,61
"2018-04-18 00:00:00",86,,27
"2018-04-19 00:00:00",84,,10
