"DateTime","Players","Twitch Viewers"
"2020-05-16 00:00:00",,31718
"2020-05-17 00:00:00",,52295
"2020-05-18 00:00:00",,63426
"2020-05-19 00:00:00",,50703
"2020-05-20 00:00:00",,30607
"2020-05-21 00:00:00",,31493
"2020-05-22 00:00:00",,28009
"2020-05-23 00:00:00",,24392
"2020-05-24 00:00:00",,28167
"2020-05-25 00:00:00",,21274
"2020-05-26 00:00:00",,32857
"2020-05-27 00:00:00",,42860
"2020-05-28 00:00:00",,49595
"2020-05-29 00:00:00",,43468
"2020-05-30 00:00:00",,55597
"2020-05-31 00:00:00",,26750
"2020-06-01 00:00:00",,41883
"2020-06-02 00:00:00",,14878
"2020-06-03 00:00:00",10867,62343
"2020-06-04 00:00:00",19736,57982
"2020-06-05 00:00:00",27035,40627
"2020-06-06 00:00:00",34033,64264
"2020-06-07 00:00:00",41110,39102
"2020-06-08 00:00:00",41949,53834
"2020-06-09 00:00:00",46204,46765
"2020-06-10 00:00:00",50450,31648
"2020-06-11 00:00:00",51980,34951
"2020-06-12 00:00:00",55244,37687
"2020-06-13 00:00:00",59404,49326
"2020-06-14 00:00:00",63365,45766
"2020-06-15 00:00:00",62113,48804
"2020-06-16 00:00:00",62783,48101
"2020-06-17 00:00:00",36763,29474
"2020-06-18 00:00:00",66906,43882
"2020-06-19 00:00:00",62084,37586
"2020-06-20 00:00:00",63390,39803
"2020-06-21 00:00:00",62241,24318
"2020-06-22 00:00:00",58319,14949
"2020-06-23 00:00:00",58210,14870
"2020-06-24 00:00:00",57113,30641
"2020-06-25 00:00:00",53288,24226
"2020-06-26 00:00:00",58848,47107
"2020-06-27 00:00:00",60832,32241
"2020-06-28 00:00:00",63341,50545
"2020-06-29 00:00:00",61723,31872
"2020-06-30 00:00:00",60028,31799
"2020-07-01 00:00:00",59277,31872
"2020-07-02 00:00:00",57946,26024
"2020-07-03 00:00:00",58202,25816
"2020-07-04 00:00:00",57530,31930
"2020-07-05 00:00:00",57102,24497
"2020-07-06 00:00:00",53878,21934
"2020-07-07 00:00:00",51493,22562
"2020-07-08 00:00:00",47446,32803
"2020-07-09 00:00:00",44322,21248
"2020-07-10 00:00:00",44070,25217
"2020-07-11 00:00:00",43787,12432
"2020-07-12 00:00:00",43064,22062
"2020-07-13 00:00:00",39993,13015
"2020-07-14 00:00:00",39409,15477
"2020-07-15 00:00:00",36046,13700
"2020-07-16 00:00:00",35395,11532
"2020-07-17 00:00:00",35171,7476
"2020-07-18 00:00:00",36080,17139
"2020-07-19 00:00:00",35297,20287
"2020-07-20 00:00:00",32869,8489
"2020-07-21 00:00:00",30488,13419
"2020-07-22 00:00:00",29984,9547
"2020-07-23 00:00:00",27580,16444
"2020-07-24 00:00:00",28883,20741
"2020-07-25 00:00:00",29316,24820
"2020-07-26 00:00:00",29507,12814
"2020-07-27 00:00:00",27492,14730
"2020-07-28 00:00:00",26761,13130
"2020-07-29 00:00:00",25105,25350
"2020-07-30 00:00:00",30488,41631
"2020-07-31 00:00:00",28582,21982
"2020-08-01 00:00:00",28811,19273
"2020-08-02 00:00:00",29285,31211
"2020-08-03 00:00:00",26847,41400
