"DateTime","Players","Flags","Twitch Viewers"
"2019-11-15 00:00:00",35839,
"2019-11-16 00:00:00",46310,,146466
"2019-11-17 00:00:00",46550,,143421
"2019-11-18 00:00:00",36648,,110721
"2019-11-19 00:00:00",24642,,74937
"2019-11-20 00:00:00",21660,,61996
"2019-11-21 00:00:00",18218,,60567
"2019-11-22 00:00:00",16976,,38397
"2019-11-23 00:00:00",20888,,25140
"2019-11-24 00:00:00",19818,,24153
"2019-11-25 00:00:00",15695,,16685
"2019-11-26 00:00:00",10939,,21894
"2019-11-27 00:00:00",10483,,19960
"2019-11-28 00:00:00",10716,,10005
"2019-11-29 00:00:00",11433,,8265
"2019-11-30 00:00:00",12247,,10033
"2019-12-01 00:00:00",12538,,9691
"2019-12-02 00:00:00",10152,,13479
"2019-12-03 00:00:00",7465,,7526
"2019-12-04 00:00:00",6115,,4527
"2019-12-05 00:00:00",5709,,7737
"2019-12-06 00:00:00",5870,,4113
"2019-12-07 00:00:00",7686,,11845
"2019-12-08 00:00:00",7818,,5881
"2019-12-09 00:00:00",6248,,8914
"2019-12-10 00:00:00",4532,,5941
"2019-12-11 00:00:00",4002,,8119
"2019-12-12 00:00:00",3584,,7844
"2019-12-13 00:00:00",3705,,3908
"2019-12-14 00:00:00",5420,,1986
"2019-12-15 00:00:00",5699,,4858
"2019-12-16 00:00:00",4661,,2937
"2019-12-17 00:00:00",3785,,5682
"2019-12-18 00:00:00",3300,,4820
"2019-12-19 00:00:00",3408,,3379
"2019-12-20 00:00:00",4610,,3890
"2019-12-21 00:00:00",6870,,5147
"2019-12-22 00:00:00",7984,,2208
"2019-12-23 00:00:00",7213,,5530
"2019-12-24 00:00:00",7486,,5351
"2019-12-25 00:00:00",11041,,5064
"2019-12-26 00:00:00",13014,,7889
"2019-12-27 00:00:00",12452,,5729
"2019-12-28 00:00:00",12702,,2551
"2019-12-29 00:00:00",12663,,3529
"2019-12-30 00:00:00",11383,,4446
"2019-12-31 00:00:00",10224,,4845
"2020-01-01 00:00:00",11574,,2240
"2020-01-02 00:00:00",10365,,6934
"2020-01-03 00:00:00",9056,,5617
"2020-01-04 00:00:00",10364,,4231
"2020-01-05 00:00:00",10231,,6233
"2020-01-06 00:00:00",8958,,8561
"2020-01-07 00:00:00",6541,,3245
"2020-01-08 00:00:00",5533,,3818
"2020-01-09 00:00:00",4959,,5861
"2020-01-10 00:00:00",4501,,2918
"2020-01-11 00:00:00",6091,,2520
"2020-01-12 00:00:00",5936,,7641
"2020-01-13 00:00:00",4766,,3855
"2020-01-14 00:00:00",3537,,5203
"2020-01-15 00:00:00",3097,,5151
"2020-01-16 00:00:00",2576,,2417
"2020-01-17 00:00:00",2867,,2560
"2020-01-18 00:00:00",4000,,1288
"2020-01-19 00:00:00",3934,,3731
"2020-01-20 00:00:00",3213,,3249
"2020-01-21 00:00:00",2707,,3640
"2020-01-22 00:00:00",2199,,5608
"2020-01-23 00:00:00",2173,,2988
"2020-01-24 00:00:00",2585,,1651
"2020-01-25 00:00:00",3934,,3232
"2020-01-26 00:00:00",4226,,1036
"2020-01-27 00:00:00",3509,,4688
"2020-01-28 00:00:00",2747,,4397
"2020-01-29 00:00:00",2416,,4365
"2020-01-30 00:00:00",2074,,5385
"2020-01-31 00:00:00",2108,,3756
"2020-02-01 00:00:00",2926,,5880
"2020-02-02 00:00:00",3064,,5242
"2020-02-03 00:00:00",1947,,4306
"2020-02-04 00:00:00",1674,,5206
"2020-02-05 00:00:00",1528,,5171
"2020-02-06 00:00:00",1456,,5195
"2020-02-07 00:00:00",1513,,4091
"2020-02-08 00:00:00",2147,,3165
"2020-02-09 00:00:00",2339,,3008
"2020-02-10 00:00:00",1810,,517
"2020-02-11 00:00:00",1354,,675
"2020-02-12 00:00:00",1225,,1887
"2020-02-13 00:00:00",1091,,1692
"2020-02-14 00:00:00",1221,,553
"2020-02-15 00:00:00",1730,,778
"2020-02-16 00:00:00",1804,,362
"2020-02-17 00:00:00",1474,,985
"2020-02-18 00:00:00",1210,,1854
"2020-02-19 00:00:00",975,,1469
"2020-02-20 00:00:00",928,,2399
"2020-02-21 00:00:00",1413,,9124
"2020-02-22 00:00:00",2156,,5797
"2020-02-23 00:00:00",2607,,1845
"2020-02-24 00:00:00",2157,,385
"2020-02-25 00:00:00",1641,,1559
"2020-02-26 00:00:00",1432,,573
"2020-02-27 00:00:00",1328,,575
"2020-02-28 00:00:00",1173,,881
"2020-02-29 00:00:00",1588,,777
"2020-03-01 00:00:00",1652,,766
"2020-03-02 00:00:00",1288,,250
"2020-03-03 00:00:00",1004,,375
"2020-03-04 00:00:00",877,,10578
"2020-03-05 00:00:00",904,,376
"2020-03-06 00:00:00",967,,3265
"2020-03-07 00:00:00",1318,,896
"2020-03-08 00:00:00",1414,,553
"2020-03-09 00:00:00",1083,,1234
"2020-03-10 00:00:00",879,,21965
"2020-03-11 00:00:00",784,,277
"2020-03-12 00:00:00",805,,1276
"2020-03-13 00:00:00",936,,931
"2020-03-14 00:00:00",1296,,811
"2020-03-15 00:00:00",1411,,243
"2020-03-16 00:00:00",1101,,331
"2020-03-17 00:00:00",1296,,1363
"2020-03-18 00:00:00",2267,,1310
"2020-03-19 00:00:00",2808,,456
"2020-03-20 00:00:00",3351,,388
"2020-03-21 00:00:00",4667,,552
"2020-03-22 00:00:00",5496,,586
"2020-03-23 00:00:00",4313,,740
"2020-03-24 00:00:00",3572,,415
"2020-03-25 00:00:00",3191,,762
"2020-03-26 00:00:00",2701,,975
"2020-03-27 00:00:00",2546,,1187
"2020-03-28 00:00:00",3028,,820
"2020-03-29 00:00:00",2780,,937
"2020-03-30 00:00:00",1963,,2989
"2020-03-31 00:00:00",1681,,1616
"2020-04-01 00:00:00",1678,,1495
"2020-04-02 00:00:00",2888,,1219
"2020-04-03 00:00:00",3483,,1099
"2020-04-04 00:00:00",4792,,319
"2020-04-05 00:00:00",5201,,377
"2020-04-06 00:00:00",4115,,1363
"2020-04-07 00:00:00",3421,,1342
"2020-04-08 00:00:00",2931,,739
"2020-04-09 00:00:00",2743,,307
"2020-04-10 00:00:00",2718,,247
"2020-04-11 00:00:00",2838,,317
"2020-04-12 00:00:00",2798,,308
"2020-04-13 00:00:00",2068,,280
"2020-04-14 00:00:00",1558,,570
"2020-04-15 00:00:00",1631,,439
"2020-04-16 00:00:00",1486,,536
"2020-04-17 00:00:00",1545,,1239
"2020-04-18 00:00:00",1884,,488
"2020-04-19 00:00:00",1871,,332
"2020-04-20 00:00:00",1404,,1924
"2020-04-21 00:00:00",1252,,840
"2020-04-22 00:00:00",1147,,1328
"2020-04-23 00:00:00",1122,,2667
"2020-04-24 00:00:00",1192,,2580
"2020-04-25 00:00:00",1470,,3089
"2020-04-26 00:00:00",1494,,1893
"2020-04-27 00:00:00",1194,,3305
"2020-04-28 00:00:00",1064,,2822
"2020-04-29 00:00:00",1043,,1899
"2020-04-30 00:00:00",1054,,1386
"2020-05-01 00:00:00",2144,,388
"2020-05-02 00:00:00",4259,,605
"2020-05-03 00:00:00",5603,,731
"2020-05-04 00:00:00",5979,,4524
"2020-05-05 00:00:00",7785,,7448
"2020-05-06 00:00:00",7902,,2777
"2020-05-07 00:00:00",7640,,1237
"2020-05-08 00:00:00",6947,,2530
"2020-05-09 00:00:00",7035,,1804
"2020-05-10 00:00:00",6139,,5593
"2020-05-11 00:00:00",4569,,888
"2020-05-12 00:00:00",3860,,997
"2020-05-13 00:00:00",3343,,1481
"2020-05-14 00:00:00",3121,,1359
"2020-05-15 00:00:00",2933,,2203
"2020-05-16 00:00:00",3233,,778
"2020-05-17 00:00:00",3284,,982
"2020-05-18 00:00:00",2492,,4477
"2020-05-19 00:00:00",2129,,4938
"2020-05-20 00:00:00",1976,,2524
"2020-05-21 00:00:00",1796,,2806
"2020-05-22 00:00:00",1917,,2187
"2020-05-23 00:00:00",2178,,622
"2020-05-24 00:00:00",2165,,1926
"2020-05-25 00:00:00",2070,,4912
"2020-05-26 00:00:00",1596,,1160
"2020-05-27 00:00:00",1336,,540
"2020-05-28 00:00:00",1301,,342
"2020-05-29 00:00:00",1310,,381
"2020-05-30 00:00:00",1532,,370
"2020-05-31 00:00:00",1625,,359
"2020-06-01 00:00:00",1301,,328
"2020-06-02 00:00:00",1068,,581
"2020-06-03 00:00:00",1163,,468
"2020-06-04 00:00:00",1163,,2138
"2020-06-05 00:00:00",1185,,1560
"2020-06-06 00:00:00",1504,,579
"2020-06-07 00:00:00",1532,,2202
"2020-06-08 00:00:00",1208,,2304
"2020-06-09 00:00:00",1081,,2150
"2020-06-10 00:00:00",1055,,1794
"2020-06-11 00:00:00",1561,,350
"2020-06-12 00:00:00",3009,,770
"2020-06-13 00:00:00",4278,,726
"2020-06-14 00:00:00",5027,,363
