"DateTime","Players","Flags","Twitch Viewers"
"2019-10-16 00:00:00",,,3
"2019-10-17 00:00:00",,,0
"2019-10-18 00:00:00",,,0
"2019-10-19 00:00:00",,,0
"2019-10-20 00:00:00",,,0
"2019-10-21 00:00:00",,,4221
"2019-10-22 00:00:00",,,3
"2019-10-23 00:00:00",,,226
"2019-10-24 00:00:00",,,47
"2019-10-25 00:00:00",,,4
"2019-10-26 00:00:00",,,3
"2019-10-27 00:00:00",,,4
"2019-10-28 00:00:00",,,0
"2019-10-29 00:00:00",,,3
"2019-10-30 00:00:00",,,5
"2019-10-31 00:00:00",16451,,3196
"2019-11-01 00:00:00",22678,,2443
"2019-11-02 00:00:00",24116,,2896
"2019-11-03 00:00:00",28280,,1732
"2019-11-04 00:00:00",28582,,3691
"2019-11-05 00:00:00",27685,,2187
"2019-11-06 00:00:00",28152,,3136
"2019-11-07 00:00:00",28389,,2028
"2019-11-08 00:00:00",27692,,1938
"2019-11-09 00:00:00",30413,,1425
"2019-11-10 00:00:00",31589,,1207
"2019-11-11 00:00:00",31886,,3131
"2019-11-12 00:00:00",31219,,2133
"2019-11-13 00:00:00",30367,,1839
"2019-11-14 00:00:00",30571,,4463
"2019-11-15 00:00:00",29485,,1370
"2019-11-16 00:00:00",32743,,1301
"2019-11-17 00:00:00",35957,,1252
"2019-11-18 00:00:00",36127,,4979
"2019-11-19 00:00:00",55685,,4270
"2019-11-20 00:00:00",58988,,23781
"2019-11-21 00:00:00",59401,,2183
"2019-11-22 00:00:00",57460,,2476
"2019-11-23 00:00:00",62135,,21013
"2019-11-24 00:00:00",68400,,24481
"2019-11-25 00:00:00",65409,,10414
"2019-11-26 00:00:00",61769,,22624
"2019-11-27 00:00:00",60739,,21906
"2019-11-28 00:00:00",60206,,22722
"2019-11-29 00:00:00",57139,,21794
"2019-11-30 00:00:00",61859,,3601
"2019-12-01 00:00:00",67346,,23061
"2019-12-02 00:00:00",64848,,19038
"2019-12-03 00:00:00",62974,,4710
"2019-12-04 00:00:00",60270,,2049
"2019-12-05 00:00:00",60308,,5229
"2019-12-06 00:00:00",56826,,3337
"2019-12-07 00:00:00",61452,,3305
