"DateTime","Players","Twitch Viewers"
"2019-10-01 00:00:00",,332
"2019-10-02 00:00:00",,705
"2019-10-03 00:00:00",,1517
"2019-10-04 00:00:00",,1419
"2019-10-05 00:00:00",,900
"2019-10-06 00:00:00",,817
"2019-10-07 00:00:00",,2116
"2019-10-08 00:00:00",,858
"2019-10-09 00:00:00",,665
"2019-10-10 00:00:00",,550
"2019-10-11 00:00:00",,609
"2019-10-12 00:00:00",,847
"2019-10-13 00:00:00",,507
"2019-10-14 00:00:00",,601
"2019-10-15 00:00:00",,674
"2019-10-16 00:00:00",,414
"2019-10-17 00:00:00",,487
"2019-10-18 00:00:00",,1013
"2019-10-19 00:00:00",,682
"2019-10-20 00:00:00",,470
"2019-10-21 00:00:00",,613
"2019-10-22 00:00:00",,533
"2019-10-23 00:00:00",,502
"2019-10-24 00:00:00",,470
"2019-10-25 00:00:00",,424
"2019-10-26 00:00:00",,508
"2019-10-27 00:00:00",,535
"2019-10-28 00:00:00",,290
"2019-10-29 00:00:00",,807
"2019-10-30 00:00:00",,2272
"2019-10-31 00:00:00",,1551
"2019-11-01 00:00:00",,887
"2019-11-02 00:00:00",,976
"2019-11-03 00:00:00",,965
"2019-11-04 00:00:00",,916
"2019-11-05 00:00:00",,1002
"2019-11-06 00:00:00",,881
"2019-11-07 00:00:00",,933
"2019-11-08 00:00:00",,5065
"2019-11-09 00:00:00",,1248
"2019-11-10 00:00:00",,1316
"2019-11-11 00:00:00",,941
"2019-11-12 00:00:00",,25398
"2019-11-13 00:00:00",,24429
"2019-11-14 00:00:00",,1274
"2019-11-15 00:00:00",,2004
"2019-11-16 00:00:00",,2799
"2019-11-17 00:00:00",,4520
"2019-11-18 00:00:00",,5056
"2019-11-19 00:00:00",,805
"2019-11-20 00:00:00",,858
"2019-11-21 00:00:00",,894
"2019-11-22 00:00:00",,992
"2019-11-23 00:00:00",,1059
"2019-11-24 00:00:00",,1289
"2019-11-25 00:00:00",,1347
"2019-11-26 00:00:00",,1057
"2019-11-27 00:00:00",,1317
"2019-11-28 00:00:00",,1095
"2019-11-29 00:00:00",,1623
"2019-11-30 00:00:00",,1125
"2019-12-01 00:00:00",,1260
"2019-12-02 00:00:00",,1192
"2019-12-03 00:00:00",140413,137760
"2019-12-04 00:00:00",161024,114386
"2019-12-05 00:00:00",123283,75525
"2019-12-06 00:00:00",97119,35442
"2019-12-07 00:00:00",93441,26779
"2019-12-08 00:00:00",85051,28322
"2019-12-09 00:00:00",71256,23735
"2019-12-10 00:00:00",61747,20257
