"DateTime","Players","Flags","Twitch Viewers"
"2019-08-20 00:00:00",,,25
"2019-08-21 00:00:00",,,23194
"2019-08-22 00:00:00",,,6472
"2019-08-23 00:00:00",,,4122
"2019-08-24 00:00:00",,,1363
"2019-08-25 00:00:00",,,1080
"2019-08-26 00:00:00",,,3892
"2019-08-27 00:00:00",,,1395
"2019-08-28 00:00:00",,,2885
"2019-08-29 00:00:00",,,2568
"2019-08-30 00:00:00",,,1688
"2019-08-31 00:00:00",,,434
"2019-09-01 00:00:00",,,2078
"2019-09-02 00:00:00",,,1092
"2019-09-03 00:00:00",,,1449
"2019-09-04 00:00:00",,,3199
"2019-09-05 00:00:00",4523,,15417
"2019-09-06 00:00:00",26856,,57915
"2019-09-07 00:00:00",31410,,50550
"2019-09-08 00:00:00",30405,,32806
"2019-09-09 00:00:00",28666,,36110
"2019-09-10 00:00:00",27183,,27144
"2019-09-11 00:00:00",26624,,28041
"2019-09-12 00:00:00",25738,,30370
"2019-09-13 00:00:00",24995,,24343
"2019-09-14 00:00:00",25405,,28077
"2019-09-15 00:00:00",26668,,27112
"2019-09-16 00:00:00",26208,,17949
"2019-09-17 00:00:00",25417,,20450
"2019-09-18 00:00:00",24860,,23515
"2019-09-19 00:00:00",24305,,17771
"2019-09-20 00:00:00",23949,,11538
"2019-09-21 00:00:00",25323,,16296
"2019-09-22 00:00:00",24722,,14363
"2019-09-23 00:00:00",22791,,16525
"2019-09-24 00:00:00",22474,,23314
"2019-09-25 00:00:00",22042,,12476
"2019-09-26 00:00:00",21981,,14147
"2019-09-27 00:00:00",21668,,15945
"2019-09-28 00:00:00",22568,,15374
"2019-09-29 00:00:00",22856,,17730
"2019-09-30 00:00:00",20285,,12033
"2019-10-01 00:00:00",18688,,21914
"2019-10-02 00:00:00",18001,,8315
"2019-10-03 00:00:00",17536,,17345
"2019-10-04 00:00:00",18280,,13944
"2019-10-05 00:00:00",19816,,9167
"2019-10-06 00:00:00",20303,,13713
"2019-10-07 00:00:00",18900,,19960
"2019-10-08 00:00:00",19041,,19306
"2019-10-09 00:00:00",18574,,16702
"2019-10-10 00:00:00",17966,,11066
"2019-10-11 00:00:00",17826,,14082
"2019-10-12 00:00:00",19143,,14999
"2019-10-13 00:00:00",18701,,10549
"2019-10-14 00:00:00",17376,,12024
"2019-10-15 00:00:00",16633,,12544
"2019-10-16 00:00:00",16469,,8999
"2019-10-17 00:00:00",16474,,9894
"2019-10-18 00:00:00",16461,,15629
"2019-10-19 00:00:00",17304,,8789
"2019-10-20 00:00:00",16811,,8396
"2019-10-21 00:00:00",15828,,9907
"2019-10-22 00:00:00",15659,,11303
"2019-10-23 00:00:00",16454,,8401
"2019-10-24 00:00:00",16771,,7335
"2019-10-25 00:00:00",17283,,7261
"2019-10-26 00:00:00",18067,,7284
"2019-10-27 00:00:00",17890,,5257
"2019-10-28 00:00:00",17433,,7541
"2019-10-29 00:00:00",16527,,6407
"2019-10-30 00:00:00",16592,,7035
"2019-10-31 00:00:00",16747,,12829
"2019-11-01 00:00:00",17275,,6607
"2019-11-02 00:00:00",17329,,9262
"2019-11-03 00:00:00",17180,,7148
"2019-11-04 00:00:00",16035,,10910
"2019-11-05 00:00:00",15764,,10193
"2019-11-06 00:00:00",15673,,5819
"2019-11-07 00:00:00",15792,,5004
"2019-11-08 00:00:00",16369,,7331
"2019-11-09 00:00:00",17217,,6786
"2019-11-10 00:00:00",15713,,4999
"2019-11-11 00:00:00",15416,,7091
"2019-11-12 00:00:00",15374,,8286
"2019-11-13 00:00:00",15786,,4893
"2019-11-14 00:00:00",15321,,13142
"2019-11-15 00:00:00",15847,,6316
"2019-11-16 00:00:00",16744,,9964
"2019-11-17 00:00:00",16518,,4506
"2019-11-18 00:00:00",15573,,6766
"2019-11-19 00:00:00",15081,,7035
"2019-11-20 00:00:00",15460,,7486
"2019-11-21 00:00:00",15093,,6186
"2019-11-22 00:00:00",15928,,6225
"2019-11-23 00:00:00",17030,,5001
"2019-11-24 00:00:00",16920,,7184
"2019-11-25 00:00:00",15773,,8413
"2019-11-26 00:00:00",15310,,7025
"2019-11-27 00:00:00",16348,,4741
"2019-11-28 00:00:00",17666,,5824
"2019-11-29 00:00:00",18274,,6764
"2019-11-30 00:00:00",19650,,6085
"2019-12-01 00:00:00",19559,,6090
"2019-12-02 00:00:00",18763,,6099
