"DateTime","Players","Twitch Viewers"
"2019-12-05 00:00:00",11876,9166
"2019-12-06 00:00:00",28491,5789
"2019-12-07 00:00:00",37375,8498
"2019-12-08 00:00:00",41301,5674
"2019-12-09 00:00:00",34794,7803
"2019-12-10 00:00:00",33914,12419
"2019-12-11 00:00:00",32678,13147
"2019-12-12 00:00:00",31021,11865
"2019-12-13 00:00:00",33061,24950
"2019-12-14 00:00:00",47236,12868
"2019-12-15 00:00:00",51403,14876
"2019-12-16 00:00:00",41372,5287
"2019-12-17 00:00:00",39159,8115
"2019-12-18 00:00:00",37468,8052
"2019-12-19 00:00:00",36561,7747
"2019-12-20 00:00:00",38594,6663
"2019-12-21 00:00:00",47021,4854
"2019-12-22 00:00:00",50553,3119
"2019-12-23 00:00:00",46390,4176
"2019-12-24 00:00:00",45354,3836
"2019-12-25 00:00:00",46290,2525
"2019-12-26 00:00:00",49160,3925
"2019-12-27 00:00:00",49673,3805
"2019-12-28 00:00:00",54068,3725
"2019-12-29 00:00:00",55271,3955
"2019-12-30 00:00:00",49688,4069
"2019-12-31 00:00:00",47260,3882
"2020-01-01 00:00:00",50967,5035
"2020-01-02 00:00:00",48547,2648
"2020-01-03 00:00:00",48403,2880
"2020-01-04 00:00:00",51252,9891
"2020-01-05 00:00:00",49734,3570
"2020-01-06 00:00:00",41566,2451
"2020-01-07 00:00:00",37669,4474
"2020-01-08 00:00:00",36380,2560
"2020-01-09 00:00:00",33844,4585
"2020-01-10 00:00:00",32738,3924
"2020-01-11 00:00:00",39185,25126
"2020-01-12 00:00:00",39630,21090
"2020-01-13 00:00:00",29073,19496
"2020-01-14 00:00:00",27559,20711
"2020-01-15 00:00:00",27020,3792
"2020-01-16 00:00:00",24888,3713
"2020-01-17 00:00:00",25649,1966
"2020-01-18 00:00:00",31172,2764
"2020-01-19 00:00:00",32118,3090
"2020-01-20 00:00:00",23947,1747
"2020-01-21 00:00:00",22977,7279
"2020-01-22 00:00:00",22288,2048
"2020-01-23 00:00:00",22376,2123
"2020-01-24 00:00:00",23755,11141
"2020-01-25 00:00:00",32814,5315
"2020-01-26 00:00:00",39134,4678
"2020-01-27 00:00:00",32910,1548
"2020-01-28 00:00:00",34879,1665
"2020-01-29 00:00:00",36463,1703
"2020-01-30 00:00:00",37007,1585
"2020-01-31 00:00:00",38788,6019
"2020-02-01 00:00:00",45698,4107
"2020-02-02 00:00:00",50091,1482
"2020-02-03 00:00:00",42405,1813
"2020-02-04 00:00:00",41984,1850
"2020-02-05 00:00:00",42001,1943
"2020-02-06 00:00:00",41785,4650
"2020-02-07 00:00:00",42009,2256
"2020-02-08 00:00:00",46273,2123
"2020-02-09 00:00:00",47138,2265
"2020-02-10 00:00:00",37247,2161
"2020-02-11 00:00:00",35288,3748
"2020-02-12 00:00:00",34681,3159
"2020-02-13 00:00:00",33056,1596
"2020-02-14 00:00:00",32688,2668
"2020-02-15 00:00:00",37524,1689
"2020-02-16 00:00:00",38389,1858
"2020-02-17 00:00:00",30334,12750
"2020-02-18 00:00:00",28947,1744
"2020-02-19 00:00:00",28138,2527
"2020-02-20 00:00:00",26936,1832
"2020-02-21 00:00:00",27599,1887
"2020-02-22 00:00:00",31436,2521
"2020-02-23 00:00:00",32240,1943
"2020-02-24 00:00:00",26561,3206
"2020-02-25 00:00:00",25147,2236
"2020-02-26 00:00:00",24665,10433
"2020-02-27 00:00:00",23894,8906
"2020-02-28 00:00:00",23953,2554
"2020-02-29 00:00:00",28014,1736
"2020-03-01 00:00:00",28463,2194
"2020-03-02 00:00:00",22401,1528
"2020-03-03 00:00:00",21394,21718
"2020-03-04 00:00:00",21184,10144
"2020-03-05 00:00:00",21234,5720
"2020-03-06 00:00:00",21719,2561
"2020-03-07 00:00:00",25055,1965
"2020-03-08 00:00:00",26020,8321
"2020-03-09 00:00:00",21564,1635
"2020-03-10 00:00:00",20166,1901
"2020-03-11 00:00:00",19051,2400
"2020-03-12 00:00:00",18856,1717
"2020-03-13 00:00:00",19997,2012
"2020-03-14 00:00:00",22406,1441
"2020-03-15 00:00:00",23482,1349
"2020-03-16 00:00:00",18766,1608
"2020-03-17 00:00:00",18527,1517
"2020-03-18 00:00:00",20245,1577
"2020-03-19 00:00:00",22367,1954
"2020-03-20 00:00:00",23105,1858
"2020-03-21 00:00:00",28058,12845
"2020-03-22 00:00:00",30170,1592
"2020-03-23 00:00:00",25376,3272
"2020-03-24 00:00:00",25683,1540
"2020-03-25 00:00:00",25344,2279
"2020-03-26 00:00:00",24569,2559
"2020-03-27 00:00:00",24144,3354
"2020-03-28 00:00:00",27097,2366
"2020-03-29 00:00:00",28816,1601
