"DateTime","Players","Twitch Viewers"
"2019-07-01 00:00:00",,4
"2019-07-02 00:00:00",,3
"2019-07-03 00:00:00",,0
"2019-07-04 00:00:00",,0
"2019-07-05 00:00:00",,13
"2019-07-06 00:00:00",,0
"2019-07-07 00:00:00",,0
"2019-07-08 00:00:00",,0
"2019-07-09 00:00:00",,0
"2019-07-10 00:00:00",,0
"2019-07-11 00:00:00",,0
"2019-07-12 00:00:00",,0
"2019-07-13 00:00:00",,0
"2019-07-14 00:00:00",,0
"2019-07-15 00:00:00",,0
"2019-07-16 00:00:00",,0
"2019-07-17 00:00:00",,0
"2019-07-18 00:00:00",,882
"2019-07-19 00:00:00",,803
"2019-07-20 00:00:00",,4
"2019-07-21 00:00:00",,1
"2019-07-22 00:00:00",,1
"2019-07-23 00:00:00",,0
"2019-07-24 00:00:00",,119
"2019-07-25 00:00:00",,0
"2019-07-26 00:00:00",,0
"2019-07-27 00:00:00",,1
"2019-07-28 00:00:00",,0
"2019-07-29 00:00:00",,5535
"2019-07-30 00:00:00",,8227
"2019-07-31 00:00:00",,3421
"2019-08-01 00:00:00",,961
"2019-08-02 00:00:00",,2015
"2019-08-03 00:00:00",,172
"2019-08-04 00:00:00",,455
"2019-08-05 00:00:00",,233
"2019-08-06 00:00:00",,321
"2019-08-07 00:00:00",,133
"2019-08-08 00:00:00",,342
"2019-08-09 00:00:00",,229
"2019-08-10 00:00:00",,65
"2019-08-11 00:00:00",,58
"2019-08-12 00:00:00",,141
"2019-08-13 00:00:00",,519
"2019-08-14 00:00:00",,119
"2019-08-15 00:00:00",,211
"2019-08-16 00:00:00",,148
"2019-08-17 00:00:00",,114
"2019-08-18 00:00:00",,100
"2019-08-19 00:00:00",,69
"2019-08-20 00:00:00",,225
"2019-08-21 00:00:00",,145
"2019-08-22 00:00:00",,104
"2019-08-23 00:00:00",,317
"2019-08-24 00:00:00",,768
"2019-08-25 00:00:00",,90
"2019-08-26 00:00:00",,445
"2019-08-27 00:00:00",,244
"2019-08-28 00:00:00",,94
"2019-08-29 00:00:00",,439
"2019-08-30 00:00:00",,275
"2019-08-31 00:00:00",,161
"2019-09-01 00:00:00",,105
"2019-09-02 00:00:00",,591
"2019-09-03 00:00:00",,1213
"2019-09-04 00:00:00",,185
"2019-09-05 00:00:00",,375
"2019-09-06 00:00:00",,539
"2019-09-07 00:00:00",,345
"2019-09-08 00:00:00",,869
"2019-09-09 00:00:00",,10679
"2019-09-10 00:00:00",7472,10435
"2019-09-11 00:00:00",8284,18581
"2019-09-12 00:00:00",9625,7630
"2019-09-13 00:00:00",8976,5160
"2019-09-14 00:00:00",9893,2759
"2019-09-15 00:00:00",10207,5983
"2019-09-16 00:00:00",8884,7253
"2019-09-17 00:00:00",8364,4640
"2019-09-18 00:00:00",8054,1478
"2019-09-19 00:00:00",8111,4286
"2019-09-20 00:00:00",8073,2503
"2019-09-21 00:00:00",8966,1967
"2019-09-22 00:00:00",8767,1393
"2019-09-23 00:00:00",7851,1287
"2019-09-24 00:00:00",7440,3251
"2019-09-25 00:00:00",7090,3755
"2019-09-26 00:00:00",7532,3661
"2019-09-27 00:00:00",7438,6884
"2019-09-28 00:00:00",8125,1144
"2019-09-29 00:00:00",8581,926
"2019-09-30 00:00:00",7394,606
"2019-10-01 00:00:00",7018,1187
"2019-10-02 00:00:00",6974,1348
"2019-10-03 00:00:00",7242,656
"2019-10-04 00:00:00",7215,1644
"2019-10-05 00:00:00",8005,458
"2019-10-06 00:00:00",8083,446
"2019-10-07 00:00:00",6704,1390
"2019-10-08 00:00:00",6666,1924
"2019-10-09 00:00:00",6427,1523
"2019-10-10 00:00:00",6700,2361
"2019-10-11 00:00:00",6874,859
"2019-10-12 00:00:00",8109,1277
"2019-10-13 00:00:00",7933,460
"2019-10-14 00:00:00",6832,867
"2019-10-15 00:00:00",6344,918
"2019-10-16 00:00:00",6275,496
"2019-10-17 00:00:00",6548,2046
"2019-10-18 00:00:00",6624,1533
"2019-10-19 00:00:00",7542,2135
"2019-10-20 00:00:00",7418,272
"2019-10-21 00:00:00",6565,780
"2019-10-22 00:00:00",6203,284
"2019-10-23 00:00:00",6091,659
"2019-10-24 00:00:00",6725,510
"2019-10-25 00:00:00",6859,688
"2019-10-26 00:00:00",7583,545
"2019-10-27 00:00:00",7275,551
"2019-10-28 00:00:00",6161,816
"2019-10-29 00:00:00",5712,394
"2019-10-30 00:00:00",5675,1888
"2019-10-31 00:00:00",6025,938
"2019-11-01 00:00:00",6731,594
"2019-11-02 00:00:00",6992,431
"2019-11-03 00:00:00",6998,873
"2019-11-04 00:00:00",6054,739
"2019-11-05 00:00:00",5480,330
"2019-11-06 00:00:00",5586,272
"2019-11-07 00:00:00",5953,514
"2019-11-08 00:00:00",6491,5202
"2019-11-09 00:00:00",7705,15316
"2019-11-10 00:00:00",7186,5091
"2019-11-11 00:00:00",5868,526
"2019-11-12 00:00:00",5666,682
"2019-11-13 00:00:00",5525,576
"2019-11-14 00:00:00",5857,1285
"2019-11-15 00:00:00",6650,388
"2019-11-16 00:00:00",7185,362
"2019-11-17 00:00:00",6910,181
"2019-11-18 00:00:00",5602,544
"2019-11-19 00:00:00",5297,417
"2019-11-20 00:00:00",5410,499
"2019-11-21 00:00:00",5768,537
"2019-11-22 00:00:00",5992,422
"2019-11-23 00:00:00",6890,309
"2019-11-24 00:00:00",7009,26641
"2019-11-25 00:00:00",5617,568
"2019-11-26 00:00:00",5684,516
"2019-11-27 00:00:00",5823,332
"2019-11-28 00:00:00",6081,395
"2019-11-29 00:00:00",6502,422
"2019-11-30 00:00:00",8075,371
"2019-12-01 00:00:00",7964,18319
"2019-12-02 00:00:00",6729,298
"2019-12-03 00:00:00",6724,331
"2019-12-04 00:00:00",6656,354
"2019-12-05 00:00:00",7190,366
"2019-12-06 00:00:00",7376,563
"2019-12-07 00:00:00",8238,319
"2019-12-08 00:00:00",8125,3847
"2019-12-09 00:00:00",7037,407
"2019-12-10 00:00:00",6977,419
"2019-12-11 00:00:00",9023,824
"2019-12-12 00:00:00",10675,473
"2019-12-13 00:00:00",11360,760
"2019-12-14 00:00:00",12841,1037
"2019-12-15 00:00:00",12711,272
"2019-12-16 00:00:00",12822,315
"2019-12-17 00:00:00",12130,1870
"2019-12-18 00:00:00",11789,499
"2019-12-19 00:00:00",11825,513
"2019-12-20 00:00:00",12438,334
"2019-12-21 00:00:00",13413,348
"2019-12-22 00:00:00",13299,359
"2019-12-23 00:00:00",13274,386
"2019-12-24 00:00:00",13935,593
"2019-12-25 00:00:00",12467,231
"2019-12-26 00:00:00",13597,423
"2019-12-27 00:00:00",13755,5607
"2019-12-28 00:00:00",14810,349
"2019-12-29 00:00:00",14078,792
"2019-12-30 00:00:00",14641,620
"2019-12-31 00:00:00",14713,399
"2020-01-01 00:00:00",12984,837
"2020-01-02 00:00:00",13728,3699
"2020-01-03 00:00:00",14274,1049
"2020-01-04 00:00:00",15388,1819
"2020-01-05 00:00:00",14741,358
"2020-01-06 00:00:00",13493,810
"2020-01-07 00:00:00",12788,1851
"2020-01-08 00:00:00",12533,1068
"2020-01-09 00:00:00",13150,1008
"2020-01-10 00:00:00",13486,653
"2020-01-11 00:00:00",15468,448
"2020-01-12 00:00:00",14979,412
"2020-01-13 00:00:00",12628,1145
"2020-01-14 00:00:00",12310,396
"2020-01-15 00:00:00",11709,1449
"2020-01-16 00:00:00",12598,411
"2020-01-17 00:00:00",13103,675
"2020-01-18 00:00:00",13801,934
"2020-01-19 00:00:00",14001,210
"2020-01-20 00:00:00",12803,539
"2020-01-21 00:00:00",12025,756
"2020-01-22 00:00:00",11748,497
"2020-01-23 00:00:00",12780,380
"2020-01-24 00:00:00",12809,457
"2020-01-25 00:00:00",13812,889
"2020-01-26 00:00:00",14069,312
"2020-01-27 00:00:00",12190,732
"2020-01-28 00:00:00",12003,1392
"2020-01-29 00:00:00",11941,1488
"2020-01-30 00:00:00",12482,1690
"2020-01-31 00:00:00",13024,949
"2020-02-01 00:00:00",13232,392
"2020-02-02 00:00:00",13397,378
"2020-02-03 00:00:00",12121,2305
"2020-02-04 00:00:00",11668,941
"2020-02-05 00:00:00",11351,2000
"2020-02-06 00:00:00",12331,534
"2020-02-07 00:00:00",12908,572
"2020-02-08 00:00:00",14559,466
"2020-02-09 00:00:00",14104,269
"2020-02-10 00:00:00",11743,1507
"2020-02-11 00:00:00",11570,445
"2020-02-12 00:00:00",11207,694
"2020-02-13 00:00:00",11513,512
"2020-02-14 00:00:00",11974,324
"2020-02-15 00:00:00",13753,475
"2020-02-16 00:00:00",13332,222
"2020-02-17 00:00:00",12275,644
"2020-02-18 00:00:00",12397,267
"2020-02-19 00:00:00",12540,1930
"2020-02-20 00:00:00",12667,537
"2020-02-21 00:00:00",13456,370
"2020-02-22 00:00:00",14452,357
"2020-02-23 00:00:00",13731,1258
"2020-02-24 00:00:00",13598,289
"2020-02-25 00:00:00",13795,650
"2020-02-26 00:00:00",12769,332
"2020-02-27 00:00:00",12987,522
"2020-02-28 00:00:00",13507,5991
"2020-02-29 00:00:00",15001,3474
"2020-03-01 00:00:00",14090,252
"2020-03-02 00:00:00",12068,899
"2020-03-03 00:00:00",11748,2933
"2020-03-04 00:00:00",11702,4188
"2020-03-05 00:00:00",12417,18343
"2020-03-06 00:00:00",13706,17635
"2020-03-07 00:00:00",15302,17567
"2020-03-08 00:00:00",14971,12981
"2020-03-09 00:00:00",13072,9261
"2020-03-10 00:00:00",12759,5128
"2020-03-11 00:00:00",12581,5853
"2020-03-12 00:00:00",13692,6911
"2020-03-13 00:00:00",14875,5210
"2020-03-14 00:00:00",17239,5221
"2020-03-15 00:00:00",17156,5290
"2020-03-16 00:00:00",15672,1600
"2020-03-17 00:00:00",16341,8048
"2020-03-18 00:00:00",16367,6935
"2020-03-19 00:00:00",17154,5526
"2020-03-20 00:00:00",17743,3911
"2020-03-21 00:00:00",19742,5588
"2020-03-22 00:00:00",19547,5010
"2020-03-23 00:00:00",17919,2055
"2020-03-24 00:00:00",17919,3007
"2020-03-25 00:00:00",17742,3569
"2020-03-26 00:00:00",19358,9802
"2020-03-27 00:00:00",19437,2857
"2020-03-28 00:00:00",21018,2941
"2020-03-29 00:00:00",20964,2919
"2020-03-30 00:00:00",19015,3564
"2020-03-31 00:00:00",18393,2232
"2020-04-01 00:00:00",18088,972
"2020-04-02 00:00:00",18945,1062
"2020-04-03 00:00:00",19178,787
"2020-04-04 00:00:00",20837,1981
"2020-04-05 00:00:00",19953,1743
"2020-04-06 00:00:00",18352,1582
"2020-04-07 00:00:00",18201,2220
"2020-04-08 00:00:00",17858,3540
"2020-04-09 00:00:00",18456,2068
"2020-04-10 00:00:00",19947,951
"2020-04-11 00:00:00",20757,1345
"2020-04-12 00:00:00",20189,2022
"2020-04-13 00:00:00",19362,3904
"2020-04-14 00:00:00",18619,2685
"2020-04-15 00:00:00",18061,4267
"2020-04-16 00:00:00",18408,2626
"2020-04-17 00:00:00",19095,1373
"2020-04-18 00:00:00",20766,958
"2020-04-19 00:00:00",19823,816
"2020-04-20 00:00:00",18026,2154
"2020-04-21 00:00:00",17899,1979
"2020-04-22 00:00:00",17098,3862
"2020-04-23 00:00:00",18771,1226
"2020-04-24 00:00:00",19436,1139
"2020-04-25 00:00:00",20512,1348
"2020-04-26 00:00:00",20448,3249
"2020-04-27 00:00:00",17916,2489
"2020-04-28 00:00:00",18065,1019
"2020-04-29 00:00:00",18119,3548
"2020-04-30 00:00:00",18874,1218
"2020-05-01 00:00:00",20447,1128
"2020-05-02 00:00:00",20624,1195
"2020-05-03 00:00:00",20392,1680
"2020-05-04 00:00:00",17906,1146
"2020-05-05 00:00:00",17460,1951
"2020-05-06 00:00:00",17374,1280
"2020-05-07 00:00:00",17836,1093
"2020-05-08 00:00:00",18220,2594
"2020-05-09 00:00:00",19656,1443
"2020-05-10 00:00:00",19312,3040
