"DateTime","Players","Players Trend","Twitch Viewers"
"2020-07-28 21:50:00",15999,13402.333333333332,0
"2020-07-28 22:00:00",15937,13403.037661050545,378
"2020-07-28 22:10:00",15582,13402.478719304043,367
"2020-07-28 22:20:00",15273,13402.289753331132,410
"2020-07-28 22:30:00",15087,13402.192046580774,458
"2020-07-28 22:40:00",14928,13402.057730426164,594
"2020-07-28 22:50:00",14777,13400.725711650699,675
"2020-07-28 23:00:00",14591,13398.999752229933,701
"2020-07-28 23:10:00",5880,13390.176832122013,738
"2020-07-28 23:20:00",14176,13447.596685387074,748
"2020-07-28 23:30:00",14198,13447.256340661323,735
"2020-07-28 23:40:00",14207,13446.094868406564,647
"2020-07-28 23:50:00",14177,13444.779255398003,658
"2020-07-29 00:00:00",14056,13443.184565104537,643
"2020-07-29 00:10:00",13938,13441.921948298646,658
"2020-07-29 00:20:00",13898,13440.500399185112,697
"2020-07-29 00:30:00",13846,13438.704018004624,682
"2020-07-29 00:40:00",13920,13436.75399185112,635
"2020-07-29 00:50:00",13906,13434.269246373287,633
"2020-07-29 01:00:00",13898,13432.306417244801,627
"2020-07-29 01:10:00",13863,13430.675182287981,521
"2020-07-29 01:20:00",13890,13428.902628865464,502
"2020-07-29 01:30:00",13857,13426.762866986972,265
"2020-07-29 01:40:00",13884,13424.53778493558,276
"2020-07-29 01:50:00",13905,13421.381631428256,288
"2020-07-29 02:00:00",13891,13418.158090010422,311
"2020-07-29 02:10:00",13749,13413.987448610655,314
"2020-07-29 02:20:00",13598,13410.14047776362,308
"2020-07-29 02:30:00",13477,13406.441460049215,331
"2020-07-29 02:40:00",13361,13403.588817310872,335
"2020-07-29 02:50:00",13272,13400.86410921776,273
"2020-07-29 03:00:00",13226,13398.213608771066,313
"2020-07-29 03:10:00",13038,13394.935664249037,291
"2020-07-29 03:20:00",12860,13391.061055079455,293
"2020-07-29 03:30:00",12701,13387.978017485495,278
"2020-07-29 03:40:00",12484,13384.668937892311,271
"2020-07-29 03:50:00",12371,13381.809745697143,274
"2020-07-29 04:00:00",12219,13377.989606697625,248
"2020-07-29 04:10:00",11913,13374.05124922705,242
"2020-07-29 04:20:00",11804,13370.638040964659,230
"2020-07-29 04:30:00",11679,13366.865553514313,286
"2020-07-29 04:40:00",11501,13362.55661742729,365
"2020-07-29 04:50:00",11329,13358.39688971736,407
"2020-07-29 05:00:00",11090,13354.061101600753,379
"2020-07-29 05:10:00",10903,13349.851655929971,419
"2020-07-29 05:20:00",10833,13345.416495501842,562
"2020-07-29 05:30:00",10725,13340.387922263466,473
"2020-07-29 05:40:00",10561,13335.024308996813,456
"2020-07-29 05:50:00",10473,13329.948899670546,418
"2020-07-29 06:00:00",10375,13324.628886686494,422
"2020-07-29 06:10:00",10194,13319.30092970456,201
"2020-07-29 06:20:00",10093,13314.48395635859,211
"2020-07-29 06:30:00",10032,13309.648532702538,202
"2020-07-29 06:40:00",9951,13304.689599163095,196
"2020-07-29 06:50:00",9835,13299.698156740855,195
"2020-07-29 07:00:00",9813,13294.975559252449,176
"2020-07-29 07:10:00",9797,13289.831566341529,159
"2020-07-29 07:20:00",9805,13285.254081086321,173
"2020-07-29 07:30:00",9717,13280.159580722655,172
"2020-07-29 07:40:00",9728,13275.58744631649,167
"2020-07-29 07:50:00",9749,13270.70987456246,176
"2020-07-29 08:00:00",9792,13265.836525038103,178
"2020-07-29 08:10:00",9767,13260.959960553437,173
"2020-07-29 08:20:00",9845,13256.330401387517,163
"2020-07-29 08:30:00",9959,13251.741911260202,112
"2020-07-29 08:40:00",10044,13247.017113653888,102
"2020-07-29 08:50:00",10088,13242.058378511314,112
"2020-07-29 09:00:00",10126,13237.165524981057,110
"2020-07-29 09:10:00",10240,13232.710683258889,110
"2020-07-29 09:20:00",10309,13227.691475136477,121
