"DateTime","Players","Twitch Viewers"
"2018-11-19 00:00:00",24642,12985
"2018-11-20 00:00:00",59466,28386
"2018-11-21 00:00:00",54632,17862
"2018-11-22 00:00:00",50736,12553
"2018-11-23 00:00:00",47842,13698
"2018-11-24 00:00:00",46700,13518
"2018-11-25 00:00:00",51571,43153
"2018-11-26 00:00:00",43154,12305
"2018-11-27 00:00:00",40135,11624
"2018-11-28 00:00:00",37041,19298
"2018-11-29 00:00:00",34839,7203
"2018-11-30 00:00:00",33185,16784
"2018-12-01 00:00:00",35225,10069
"2018-12-02 00:00:00",39069,5903
"2018-12-03 00:00:00",32449,45209
"2018-12-04 00:00:00",31268,10728
"2018-12-05 00:00:00",28865,8242
"2018-12-06 00:00:00",27851,5782
"2018-12-07 00:00:00",27123,5274
"2018-12-08 00:00:00",29513,5942
"2018-12-09 00:00:00",32173,3351
"2018-12-10 00:00:00",26623,4361
"2018-12-11 00:00:00",25481,3918
"2018-12-12 00:00:00",24316,8435
"2018-12-13 00:00:00",24146,3224
"2018-12-14 00:00:00",23367,2487
"2018-12-15 00:00:00",25500,2077
"2018-12-16 00:00:00",27887,2490
"2018-12-17 00:00:00",23437,2832
"2018-12-18 00:00:00",21922,2951
"2018-12-19 00:00:00",20813,1775
"2018-12-20 00:00:00",20658,1507
"2018-12-21 00:00:00",20129,1598
"2018-12-22 00:00:00",22308,1885
"2018-12-23 00:00:00",24575,1832
"2018-12-24 00:00:00",19025,811
"2018-12-25 00:00:00",21924,1576
"2018-12-26 00:00:00",23541,3020
"2018-12-27 00:00:00",23993,2939
"2018-12-28 00:00:00",23053,1608
"2018-12-29 00:00:00",23410,1202
"2018-12-30 00:00:00",25254,1273
"2018-12-31 00:00:00",19450,1587
"2019-01-01 00:00:00",22950,1534
"2019-01-02 00:00:00",21688,1240
"2019-01-03 00:00:00",21412,3146
"2019-01-04 00:00:00",20972,3164
"2019-01-05 00:00:00",22059,1308
"2019-01-06 00:00:00",23054,1515
"2019-01-07 00:00:00",18839,3026
"2019-01-08 00:00:00",18435,5714
"2019-01-09 00:00:00",17745,3242
"2019-01-10 00:00:00",17260,2878
"2019-01-11 00:00:00",17925,4006
"2019-01-12 00:00:00",19960,904
"2019-01-13 00:00:00",21802,1186
"2019-01-14 00:00:00",17305,1077
"2019-01-15 00:00:00",16689,1458
"2019-01-16 00:00:00",16162,3620
"2019-01-17 00:00:00",16327,872
"2019-01-18 00:00:00",16593,867
"2019-01-19 00:00:00",18350,1168
"2019-01-20 00:00:00",20120,1109
"2019-01-21 00:00:00",16894,810
"2019-01-22 00:00:00",15955,2955
"2019-01-23 00:00:00",15550,1095
"2019-01-24 00:00:00",15235,2499
"2019-01-25 00:00:00",15097,3083
"2019-01-26 00:00:00",17093,1356
"2019-01-27 00:00:00",19497,4476
"2019-01-28 00:00:00",16405,2867
"2019-01-29 00:00:00",15994,2981
"2019-01-30 00:00:00",15807,3715
"2019-01-31 00:00:00",15324,4082
"2019-02-01 00:00:00",14815,3394
"2019-02-02 00:00:00",16615,977
"2019-02-03 00:00:00",18897,3575
"2019-02-04 00:00:00",15368,2415
"2019-02-05 00:00:00",14473,1477
"2019-02-06 00:00:00",14433,3040
"2019-02-07 00:00:00",14467,1497
"2019-02-08 00:00:00",14921,3161
"2019-02-09 00:00:00",16651,1054
"2019-02-10 00:00:00",18598,1105
"2019-02-11 00:00:00",15064,2213
"2019-02-12 00:00:00",14783,1329
"2019-02-13 00:00:00",14012,1147
"2019-02-14 00:00:00",12668,791
"2019-02-15 00:00:00",13760,927
"2019-02-16 00:00:00",15130,1075
"2019-02-17 00:00:00",16763,1007
"2019-02-18 00:00:00",14384,1376
"2019-02-19 00:00:00",13654,1060
"2019-02-20 00:00:00",13589,3146
"2019-02-21 00:00:00",13164,1180
"2019-02-22 00:00:00",13117,1952
"2019-02-23 00:00:00",14791,1701
"2019-02-24 00:00:00",16299,937
"2019-02-25 00:00:00",13327,841
"2019-02-26 00:00:00",12805,6970
"2019-02-27 00:00:00",12651,5173
"2019-02-28 00:00:00",12654,1264
"2019-03-01 00:00:00",12598,1343
"2019-03-02 00:00:00",14013,1145
"2019-03-03 00:00:00",15952,762
"2019-03-04 00:00:00",13871,1198
"2019-03-05 00:00:00",13277,1032
"2019-03-06 00:00:00",13081,842
"2019-03-07 00:00:00",12995,1074
"2019-03-08 00:00:00",12807,2822
"2019-03-09 00:00:00",14466,843
"2019-03-10 00:00:00",16561,1292
"2019-03-11 00:00:00",13379,765
"2019-03-12 00:00:00",12735,858
