"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 21st December 2019 14:19","145","3122","5298","43","19.12","24517","10896.44","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Saturday 21st December 2019 08:50","129","3547","7331","55","27.52","30276","11872.52","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Friday 20th December 2019 13:33","206","2808","5971","68","8.52","95946","11741.24","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Saturday 30th November 2019 11:16","238","46724","67013","853","227.48","245868","65564.8","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Friday 29th November 2019 11:16","493","26637","40554","903","112.88","356916","44614.52","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Thursday 28th November 2019 10:33","476","37815","59240","1368","176.52","0","47665.16","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Sunday 24th November 2019 04:35","564","41874","97998","8727","943.44","0","45582.72","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Saturday 23rd November 2019 03:31","643","37523","77305","1509","143.72","312598","41506.2","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Friday 22nd November 2019 03:31","583","33206","59983","1413","148.72","0","39171.28","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Wednesday 20th November 2019 01:33","836","33092","81155","1756","127.72","458658","35301.16","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Tuesday 19th November 2019 01:33","731","26393","49778","1436","119.68","305977","31232.08","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Monday 18th November 2019 12:01","223","27499","64862","1969","140.64","598169","40836.28","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Sunday 17th November 2019 01:32","822","27710","66608","1542","114.24","209595","32639.04","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Saturday 16th November 2019 01:32","822","23591","53532","1653","122.44","413307","34602.24","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"15","Friday 15th November 2019 20:30","14","3602","3602","0","0","16666","0","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"16","Friday 15th November 2019 14:55","304","16312","25997","328","69.04","156411","32928.64","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"17","Friday 15th November 2019 08:50","369","11216","19190","411","68.52","170077","24894.16","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"18","Thursday 14th November 2019 11:35","354","14235","24629","385","66.96","181426","24917.92","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
