"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"101","Monday 6th May 2019 07:29","540","52975","104524","3349","382.76","571635","65329.72","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"102","Sunday 5th May 2019 07:30","689","41032","60330","2801","243.56","652430","54700.08","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"103","Saturday 4th May 2019 07:22","787","48485","99104","5330","410","835686","64283.52","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"104","Sunday 21st April 2019 05:32","552","23823","54065","2694","299.32","6581","33659.24","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"105","Saturday 20th April 2019 05:31","718","28572","68460","2086","177.52","0","35585.96","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"106","Friday 19th April 2019 05:31","613","15338","28521","958","95.8","1992","25143.92","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"107","Thursday 18th April 2019 06:00","389","21757","39755","1026","164.16","216606","34656.96","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"108","Wednesday 17th April 2019 06:00","629","23457","41897","1582","154.36","356800","34809.76","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"109","Tuesday 16th April 2019 06:01","508","14466","35178","1002","121.44","213561","25886.2","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"110","Friday 12th April 2019 22:02","252","2934","4171","70","17.52","20825","4824.52","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"111","Friday 12th April 2019 12:14","75","7636","9356","88","88","38158","30317","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"112","Friday 12th April 2019 09:51","143","4649","9356","187","83.12","55095","24486.68","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"113","Thursday 11th April 2019 22:02","132","3042","4000","86","43","10237","5118.52","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"114","Thursday 11th April 2019 09:48","131","4721","7467","88","44","34161","12685.52","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"115","Wednesday 10th April 2019 20:55","364","2619","3914","156","26","43251","6693.68","Dota 2|Dota_2|https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
