"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Tuesday 31st December 2019 21:08","426","12846","17175","1217","173.84","82462","11266.16","Tom Clancy's Rainbow Six: Siege|Tom_Clancys_Rainbow_Six_Siege|https://static-cdn.jtvnw.net/ttv-boxart/./Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"2","Monday 30th December 2019 20:47","777","15838","19826","2040","160","144420","11327.04","Tom Clancy's Rainbow Six: Siege|Tom_Clancys_Rainbow_Six_Siege|https://static-cdn.jtvnw.net/ttv-boxart/./Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"3","Sunday 29th December 2019 22:10","694","17761","24634","2078","180.68","158125","13406","Tom Clancy's Rainbow Six: Siege|Tom_Clancys_Rainbow_Six_Siege|https://static-cdn.jtvnw.net/ttv-boxart/./Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"4","Saturday 28th December 2019 20:20","729","15125","21591","1482","123.52","160197","13349.76","Tom Clancy's Rainbow Six: Siege|Tom_Clancys_Rainbow_Six_Siege|https://static-cdn.jtvnw.net/ttv-boxart/./Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"5","Friday 27th December 2019 21:39","620","13515","20460","1170","114.16","126385","11859.8","Tom Clancy's Rainbow Six: Siege|Tom_Clancys_Rainbow_Six_Siege|https://static-cdn.jtvnw.net/ttv-boxart/./Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"6","Thursday 26th December 2019 21:23","606","13751","16260","1430","143","116227","11292.8","Tom Clancy's Rainbow Six: Siege|Tom_Clancys_Rainbow_Six_Siege|https://static-cdn.jtvnw.net/ttv-boxart/./Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"7","Tuesday 24th December 2019 22:55","499","14875","17232","1479","179.28","102167","11901.2","Tom Clancy's Rainbow Six: Siege|Tom_Clancys_Rainbow_Six_Siege|https://static-cdn.jtvnw.net/ttv-boxart/./Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"8","Monday 23rd December 2019 22:45","764","13543","15978","1686","134.88","157410","12257.68","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Tom Clancy's Rainbow Six: Siege|Tom_Clancys_Rainbow_Six_Siege|https://static-cdn.jtvnw.net/ttv-boxart/./Tom%20Clancy%27s%20Rainbow%20Six:%20Siege-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"9","Sunday 22nd December 2019 22:30","674","12491","14921","1185","105.32","130421","11223.36","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"10","Saturday 21st December 2019 21:22","772","9261","13896","537","42.12","114550","8801.8","Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Warframe|Warframe|https://static-cdn.jtvnw.net/ttv-boxart/Warframe-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"11","Friday 20th December 2019 22:47","747","9542","13314","592","48.32","106184","8397.64","Halo: The Master Chief Collection|Halo_The_Master_Chief_Collection|https://static-cdn.jtvnw.net/ttv-boxart/./Halo:%20The%20Master%20Chief%20Collection-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"12","Friday 20th December 2019 20:41","123","4038","6029","8","4","15666","5812","Halo: The Master Chief Collection|Halo_The_Master_Chief_Collection|https://static-cdn.jtvnw.net/ttv-boxart/./Halo:%20The%20Master%20Chief%20Collection-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"13","Thursday 19th December 2019 21:35","819","9105","12225","1383","102.44","106725","7688","Halo: The Master Chief Collection|Halo_The_Master_Chief_Collection|https://static-cdn.jtvnw.net/ttv-boxart/./Halo:%20The%20Master%20Chief%20Collection-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Sea of Thieves|Sea_of_Thieves|https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"14","Wednesday 18th December 2019 19:50","774","7867","9618","365","28.64","95243","7269.24","Halo: The Master Chief Collection|Halo_The_Master_Chief_Collection|https://static-cdn.jtvnw.net/ttv-boxart/./Halo:%20The%20Master%20Chief%20Collection-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
