"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"101","Saturday 14th September 2019 21:34","55","3926","6453","-19","-25.32","14443","19257.32","Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"102","Friday 13th September 2019 23:03","476","10131","12049","136","17.56","73154","8938.08","Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"103","Thursday 12th September 2019 23:07","472","9719","11636","129","16.64","72075","9080.4","Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"104","Wednesday 11th September 2019 23:07","472","12253","14678","310","41.32","100274","12202.28","Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"105","Tuesday 10th September 2019 22:13","541","12466","14147","442","50.52","108544","12405.04","Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"106","Monday 9th September 2019 22:17","507","20265","26487","481","58.32","129562","15704.48","Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"107","Monday 9th September 2019 02:03","101","9082","13934","39","22.28","29197","11928","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"108","Sunday 8th September 2019 22:07","37","6702","9429","12","24","10310","20620","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"109","Friday 6th September 2019 21:45","554","17337","25566","356","38.48","175555","18563.44","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Hunt: Showdown|Hunt_Showdown|https://static-cdn.jtvnw.net/ttv-boxart/./Hunt:%20Showdown-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"110","Thursday 5th September 2019 21:44","630","20598","27566","396","38.64","170611","16644.96","Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Hunt: Showdown|Hunt_Showdown|https://static-cdn.jtvnw.net/ttv-boxart/./Hunt:%20Showdown-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
