"","Stream start time","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"201","Wednesday 8th January 2020 20:57","632","19044","26237","2467","234.96","173695","16542.4","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Nekopara Vol.1|Nekopara_Vol.1|https://static-cdn.jtvnw.net/ttv-boxart/Nekopara%20Vol.1-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Nioh|Nioh|https://static-cdn.jtvnw.net/ttv-boxart/Nioh-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"202","Tuesday 7th January 2020 21:00","644","21075","25115","2267","210.88","182863","16641.12","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto: Vice City|Grand_Theft_Auto_Vice_City|https://static-cdn.jtvnw.net/ttv-boxart/./Grand%20Theft%20Auto:%20Vice%20City-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Star Wars Battlefront II|Star_Wars_Battlefront_II|https://static-cdn.jtvnw.net/ttv-boxart/Star%20Wars%20Battlefront%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Subnautica: Below Zero|Subnautica_Below_Zero|https://static-cdn.jtvnw.net/ttv-boxart/./Subnautica:%20Below%20Zero-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"203","Monday 6th January 2020 21:36","638","20675","27942","5149","490.4","174953","16293.8","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|My Summer Car|My_Summer_Car|https://static-cdn.jtvnw.net/ttv-boxart/My%20Summer%20Car-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Games + Demos|Games_plus_Demos|https://static-cdn.jtvnw.net/ttv-boxart/Games%20+%20Demos-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Enter the Gungeon|Enter_the_Gungeon|https://static-cdn.jtvnw.net/ttv-boxart/Enter%20the%20Gungeon-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Northbury Grove|Northbury_Grove|https://static-cdn.jtvnw.net/ttv-boxart/Northbury%20Grove-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"204","Sunday 5th January 2020 22:20","594","22963","29344","2900","297.44","188568","18827.88","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Domina|Domina|https://static-cdn.jtvnw.net/ttv-boxart/Domina-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"205","Saturday 4th January 2020 20:22","682","26664","38059","4230","376","243350","21210.24","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"206","Friday 3rd January 2020 18:30","764","23010","27922","4989","399.12","250312","19818.24","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"207","Thursday 2nd January 2020 18:15","764","24910","29591","4066","325.28","267158","21372.64","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Games + Demos|Games_plus_Demos|https://static-cdn.jtvnw.net/ttv-boxart/Games%20+%20Demos-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"208","Thursday 2nd January 2020 01:00","449","23291","31224","3817","508.92","142760","19034.68","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Bully: Scholarship Edition|Bully_Scholarship_Edition|https://static-cdn.jtvnw.net/ttv-boxart/./Bully:%20Scholarship%20Edition-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Escape From Tarkov|Escape_From_Tarkov|https://static-cdn.jtvnw.net/ttv-boxart/Escape%20From%20Tarkov-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"209","Wednesday 1st January 2020 03:16","253","28896","37165","1719","429.76","94088","22270.76","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"210","Tuesday 31st December 2019 22:43","46","12804","21578","140","186.68","28203","18265.32","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"211","Monday 30th December 2019 20:28","256","22607","27049","1274","318.52","106441","23204","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Granny: Chapter Two|Granny_Chapter_Two|https://static-cdn.jtvnw.net/ttv-boxart/./Granny:%20Chapter%20Two-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Marbles On Stream|Marbles_on_Stream|https://static-cdn.jtvnw.net/ttv-boxart/Marbles%20On%20Stream-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Grand Theft Auto V|Grand_Theft_Auto_V|https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"212","Sunday 29th December 2019 20:38","651","23956","32520","2877","267.64","205778","18727.52","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Flashing Lights|Flashing_Lights|https://static-cdn.jtvnw.net/ttv-boxart/Flashing%20Lights-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Games + Demos|Games_plus_Demos|https://static-cdn.jtvnw.net/ttv-boxart/Games%20+%20Demos-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Kingdom Come: Deliverance|Kingdom_Come_Deliverance|https://static-cdn.jtvnw.net/ttv-boxart/./Kingdom%20Come:%20Deliverance-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"213","Saturday 28th December 2019 19:59","660","26637","32270","2397","222.96","212832","19270.04","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Papers, Please|Papers_Please|https://static-cdn.jtvnw.net/ttv-boxart/Papers,%20Please-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Games + Demos|Games_plus_Demos|https://static-cdn.jtvnw.net/ttv-boxart/Games%20+%20Demos-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Kingdom Come: Deliverance|Kingdom_Come_Deliverance|https://static-cdn.jtvnw.net/ttv-boxart/./Kingdom%20Come:%20Deliverance-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"214","Friday 27th December 2019 19:11","663","24556","28820","3036","276","207676","18375","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|LEGO Star Wars: The Complete Saga|LEGO_Star_Wars_The_Complete_Saga|https://static-cdn.jtvnw.net/ttv-boxart/./LEGO%20Star%20Wars:%20The%20Complete%20Saga-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Papers, Please|Papers_Please|https://static-cdn.jtvnw.net/ttv-boxart/Papers,%20Please-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"215","Thursday 26th December 2019 20:39","695","25134","32473","3086","268.36","211572","18397.56","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Five Nights at Freddy's: Sister Location|Five_Nights_at_Freddys_Sister_Location|https://static-cdn.jtvnw.net/ttv-boxart/./Five%20Nights%20at%20Freddy%27s:%20Sister%20Location-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|LEGO Star Wars: The Complete Saga|LEGO_Star_Wars_The_Complete_Saga|https://static-cdn.jtvnw.net/ttv-boxart/./LEGO%20Star%20Wars:%20The%20Complete%20Saga-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"216","Wednesday 25th December 2019 20:55","439","37556","47624","2840","391.72","193231","26349.52","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Shellshock|Shellshock|https://static-cdn.jtvnw.net/ttv-boxart/Shellshock-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Five Nights at Freddy's: Sister Location|Five_Nights_at_Freddys_Sister_Location|https://static-cdn.jtvnw.net/ttv-boxart/./Five%20Nights%20at%20Freddy%27s:%20Sister%20Location-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"217","Tuesday 24th December 2019 21:10","649","25727","35346","2344","218.04","189134","17593.88","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Scary Tales|Scary_Tales|https://static-cdn.jtvnw.net/ttv-boxart/Scary%20Tales-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|The Coin Game|The_Coin_Game|https://static-cdn.jtvnw.net/ttv-boxart/The%20Coin%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Emily Is Away Too|Emily_Is_Away_Too|https://static-cdn.jtvnw.net/ttv-boxart/Emily%20Is%20Away%20Too-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Babysitter Bloodbath|Babysitter_Bloodbath|https://static-cdn.jtvnw.net/ttv-boxart/Babysitter%20Bloodbath-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Emily is Away|Emily_is_Away|https://static-cdn.jtvnw.net/ttv-boxart/Emily%20is%20Away-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"218","Monday 23rd December 2019 20:34","655","26195","32311","2432","226.24","209093","19082.4","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Twitch Sings|kzero|https://static-cdn.jtvnw.net/ttv-boxart/Twitch%20Sings-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Scary Tales|Scary_Tales|https://static-cdn.jtvnw.net/ttv-boxart/Scary%20Tales-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Passpartout: The Starving Artist|Passpartout_The_Starving_Artist|https://static-cdn.jtvnw.net/ttv-boxart/./Passpartout:%20The%20Starving%20Artist-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"219","Sunday 22nd December 2019 20:51","638","24202","30800","2083","198.4","189995","17604","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Cooking Simulator|Cooking_Simulator|https://static-cdn.jtvnw.net/ttv-boxart/Cooking%20Simulator-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Power Drill Massacre|Power_Drill_Massacre|https://static-cdn.jtvnw.net/ttv-boxart/Power%20Drill%20Massacre-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Pineview Drive|Pineview_Drive|https://static-cdn.jtvnw.net/ttv-boxart/Pineview%20Drive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|inFamous: Second Son|inFamous_Second_Son|https://static-cdn.jtvnw.net/ttv-boxart/./inFamous:%20Second%20Son-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"220","Saturday 21st December 2019 19:44","645","22962","26670","1900","180.96","197776","18835.8","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Bloodborne|Bloodborne|https://static-cdn.jtvnw.net/ttv-boxart/Bloodborne-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|I Wanna Be The Boshy|I_Wanna_Be_The_Boshy|https://static-cdn.jtvnw.net/ttv-boxart/I%20Wanna%20Be%20The%20Boshy-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Game Dev Tycoon|Game_Dev_Tycoon|https://static-cdn.jtvnw.net/ttv-boxart/Game%20Dev%20Tycoon-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Super Smash Bros. Ultimate|Nintendo_Switch_Super_Smash_Bros._working_title_|https://static-cdn.jtvnw.net/ttv-boxart/Super%20Smash%20Bros.%20Ultimate-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"221","Friday 20th December 2019 20:30","719","21279","27684","1938","164.92","205356","17150.4","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Star Wars Battlefront II|Star_Wars_Battlefront_II|https://static-cdn.jtvnw.net/ttv-boxart/Star%20Wars%20Battlefront%20II-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Ibb & Obb|Ibb_and_Obb|https://static-cdn.jtvnw.net/ttv-boxart/Ibb%20&%20Obb-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Hellblade|Hellblade|https://static-cdn.jtvnw.net/ttv-boxart/Hellblade-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Subnautica: Below Zero|Subnautica_Below_Zero|https://static-cdn.jtvnw.net/ttv-boxart/./Subnautica:%20Below%20Zero-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Tower Unite|Tower_Unite|https://static-cdn.jtvnw.net/ttv-boxart/Tower%20Unite-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"222","Thursday 19th December 2019 20:13","616","31320","58211","2944","294.4","232924","22723.2","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Subnautica: Below Zero|Subnautica_Below_Zero|https://static-cdn.jtvnw.net/ttv-boxart/./Subnautica:%20Below%20Zero-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"223","Wednesday 18th December 2019 20:04","685","33140","39035","3289","292.36","259566","22502.48","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"224","Tuesday 17th December 2019 19:48","686","30996","39213","3873","336.8","246532","20958.96","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"225","Monday 16th December 2019 18:51","773","27185","32989","3378","264.96","260330","20418.04","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"226","Monday 16th December 2019 00:55","334","19473","25437","924","168","85489","14924.92","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Jump King|Jump_King|https://static-cdn.jtvnw.net/ttv-boxart/Jump%20King-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Counter-Strike: Global Offensive|Counter-Strike_Global_Offensive|https://static-cdn.jtvnw.net/ttv-boxart/./Counter-Strike:%20Global%20Offensive-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
